"","YEAR_","FIRE_NAME","ALARM_DATE","CONT_DATE","CAUSE","area_burned_km2","DATE","month"
"1118",1950,"LOMBARDI",19500806,0,14,1.80672816359,1950-08-05 17:00:00,"08"
"1119",1950,"MT. STAKES",19500901,0,14,6.02320589545,1950-08-31 17:00:00,"09"
"1120",1950,"MURPHY #2",19500708,0,14,0.619278970747,1950-07-07 17:00:00,"07"
"1121",1950,"THREE RIVERS",19500715,0,14,4.76807765181,1950-07-14 17:00:00,"07"
"1122",1964,"DON PEDRO",19640622,0,14,6.38463217675,1964-06-21 17:00:00,"06"
"1123",1964,"EMERSON R.I. ESCAPE",19640810,0,14,11.6620245601,1964-08-09 17:00:00,"08"
"1124",1964,"GOODWIN DAM",19640625,0,14,9.25616191568,1964-06-24 17:00:00,"06"
"1125",1980,"TURNER",19800805,0,14,1.84757347299,1980-08-04 17:00:00,"08"
"1126",1980,"W.P.R.R. #12",19800913,0,14,1.02622312954,1980-09-12 17:00:00,"09"
"1127",1980,"WHEEL",19801010,0,14,6.48344980004,1980-10-09 17:00:00,"10"
"1128",2000,"PARROTTS",20000805,0,2,1.16953647013,2000-08-04 17:00:00,"08"
"1129",2000,"PALOMA",20000805,0,7,0.849647954693,2000-08-04 17:00:00,"08"
"1130",1972,"SNOW RANCH",19720514,0,14,5.12421201261,1972-05-13 17:00:00,"05"
"1131",1972," ",19720704,0,1,0.0702227252683,1972-07-03 17:00:00,"07"
"1132",1953,"CASSACIA #2",19531008,0,14,2.23356816597,1953-10-07 16:00:00,"10"
"1133",1953,"SAN JOAQUIN CO.",19530717,0,14,11.1685951632,1953-07-16 17:00:00,"07"
"1134",1953,"SIERRA RR #1",19530803,0,14,1.85445441655,1953-08-02 17:00:00,"08"
"1135",1953,"LAMBERTSON",19530624,0,14,4.46138804892,1953-06-23 17:00:00,"06"
"1136",1953,"O'NEAL",19530612,0,14,2.62744575942,1953-06-11 17:00:00,"06"
"1137",1953,"RIVAS",19530710,0,14,1.46720016566,1953-07-09 17:00:00,"07"
"1138",1974,"DUDLEY",19740723,0,14,2.82034352287,1974-07-22 17:00:00,"07"
"1139",1974,"LIGHTNING #1",19740731,0,14,1.91222452611,1974-07-30 17:00:00,"07"
"1140",1974,"ROBLE LOMAS",19740816,0,14,6.21184513422,1974-08-15 17:00:00,"08"
"1141",2000,"33",20000604,0,11,0.490135028175,2000-06-03 17:00:00,"06"
"1142",2000,"DRAKE",20000629,0,2,0.0375190070687,2000-06-28 17:00:00,"06"
"1143",2000,"SAND",20000716,0,2,0.102556618839,2000-07-15 17:00:00,"07"
"1144",2000,"HIGHWAY",20000813,0,7,2.64826640045,2000-08-12 17:00:00,"08"
"1145",1952,"ROLLERI #2",19520727,0,14,2.05402728741,1952-07-26 17:00:00,"07"
"1146",1952,"ROLLERI #4",19520819,0,14,1.28401010463,1952-08-18 17:00:00,"08"
"1147",1952,"SHANTI ASHRAMA",19520817,0,14,22.0895761355,1952-08-16 17:00:00,"08"
"1148",1952,"SIERRA RAILROAD NO.2",19520718,0,14,1.73872074884,1952-07-17 17:00:00,"07"
