SAMPLE_DATE,PM25_CONCENTRATION,UNITS,STATE,COUNTY,MSA
10182011,9.9,ug/m3 LC,01,027,
10212011,8.9,ug/m3 LC,01,027,
10242011,9.8,ug/m3 LC,01,027,
10272011,15.4,ug/m3 LC,01,027,
10302011,7,ug/m3 LC,01,027,
11022011,10.5,ug/m3 LC,01,027,
11052011,12,ug/m3 LC,01,027,
11082011,5.5,ug/m3 LC,01,027,
11112011,6.1,ug/m3 LC,01,027,
11142011,6.2,ug/m3 LC,01,027,
11172011,3.9,ug/m3 LC,01,027,
11202011,15.6,ug/m3 LC,01,027,
11232011,4.4,ug/m3 LC,01,027,
12022011,8,ug/m3 LC,01,027,
12052011,7.1,ug/m3 LC,01,027,
12082011,6.1,ug/m3 LC,01,027,
12112011,8.5,ug/m3 LC,01,027,
12142011,6.9,ug/m3 LC,01,027,
12172011,5.5,ug/m3 LC,01,027,
12202011,9.7,ug/m3 LC,01,027,
12232011,6,ug/m3 LC,01,027,
12262011,5,ug/m3 LC,01,027,
12292011,5.9,ug/m3 LC,01,027,
01062011,8,ug/m3 LC,01,033,
01092011,5.7,ug/m3 LC,01,033,
01122011,9.7,ug/m3 LC,01,033,
01152011,10.8,ug/m3 LC,01,033,
01182011,16.1,ug/m3 LC,01,033,
01212011,7.9,ug/m3 LC,01,033,
01242011,7.5,ug/m3 LC,01,033,
01272011,11.3,ug/m3 LC,01,033,
01302011,12.1,ug/m3 LC,01,033,
02022011,4.9,ug/m3 LC,01,033,
02052011,5.4,ug/m3 LC,01,033,
02082011,6.2,ug/m3 LC,01,033,
02112011,5.2,ug/m3 LC,01,033,
02142011,6.8,ug/m3 LC,01,033,
02172011,14.2,ug/m3 LC,01,033,
02202011,13.2,ug/m3 LC,01,033,
02232011,15.8,ug/m3 LC,01,033,
02262011,11.1,ug/m3 LC,01,033,
03012011,11.7,ug/m3 LC,01,033,
03072011,10.8,ug/m3 LC,01,033,
03102011,9.1,ug/m3 LC,01,033,
03162011,6.9,ug/m3 LC,01,033,
03192011,10.5,ug/m3 LC,01,033,
03222011,12.7,ug/m3 LC,01,033,
03252011,13.6,ug/m3 LC,01,033,
03282011,12.6,ug/m3 LC,01,033,
03312011,20.5,ug/m3 LC,01,033,
04032011,7.4,ug/m3 LC,01,033,
04062011,4.7,ug/m3 LC,01,033,
04152011,10.1,ug/m3 LC,01,033,
04182011,10.2,ug/m3 LC,01,033,
04212011,8.6,ug/m3 LC,01,033,
04242011,8.7,ug/m3 LC,01,033,
04272011,6.8,ug/m3 LC,01,033,
04302011,8.6,ug/m3 LC,01,033,
05032011,3.9,ug/m3 LC,01,033,
05062011,8.2,ug/m3 LC,01,033,
05092011,14.2,ug/m3 LC,01,033,
05122011,12.8,ug/m3 LC,01,033,
05152011,3.3,ug/m3 LC,01,033,
05182011,9.7,ug/m3 LC,01,033,
05212011,13,ug/m3 LC,01,033,
05242011,12.6,ug/m3 LC,01,033,
05272011,7.7,ug/m3 LC,01,033,
05302011,11.2,ug/m3 LC,01,033,
06022011,19.1,ug/m3 LC,01,033,
06052011,21.3,ug/m3 LC,01,033,
06082011,21.9,ug/m3 LC,01,033,
06112011,18.2,ug/m3 LC,01,033,
06142011,21.2,ug/m3 LC,01,033,
06172011,6,ug/m3 LC,01,033,
06202011,8.1,ug/m3 LC,01,033,
06232011,6.1,ug/m3 LC,01,033,
06262011,7.2,ug/m3 LC,01,033,
06292011,12.6,ug/m3 LC,01,033,
07022011,12,ug/m3 LC,01,033,
07052011,16.3,ug/m3 LC,01,033,
07082011,9.8,ug/m3 LC,01,033,
07112011,14.1,ug/m3 LC,01,033,
07142011,10.4,ug/m3 LC,01,033,
07172011,7.5,ug/m3 LC,01,033,
07202011,14.3,ug/m3 LC,01,033,
07232011,9.5,ug/m3 LC,01,033,
07262011,18,ug/m3 LC,01,033,
07292011,6.7,ug/m3 LC,01,033,
08012011,16,ug/m3 LC,01,033,
08042011,8.8,ug/m3 LC,01,033,
08072011,11.5,ug/m3 LC,01,033,
08102011,8,ug/m3 LC,01,033,
08132011,12.5,ug/m3 LC,01,033,
08162011,13.1,ug/m3 LC,01,033,
08192011,15.8,ug/m3 LC,01,033,
08222011,15,ug/m3 LC,01,033,
08252011,12.2,ug/m3 LC,01,033,
08282011,13.9,ug/m3 LC,01,033,
08312011,21.4,ug/m3 LC,01,033,
09032011,20.1,ug/m3 LC,01,033,
09062011,4.7,ug/m3 LC,01,033,
09092011,8.5,ug/m3 LC,01,033,
09122011,13.9,ug/m3 LC,01,033,
09152011,7.6,ug/m3 LC,01,033,
09182011,13.7,ug/m3 LC,01,033,
09212011,11.1,ug/m3 LC,01,033,
09242011,8.9,ug/m3 LC,01,033,
09272011,7.8,ug/m3 LC,01,033,
09302011,4.6,ug/m3 LC,01,033,
10032011,5.8,ug/m3 LC,01,033,
10062011,15,ug/m3 LC,01,033,
10092011,6.5,ug/m3 LC,01,033,
10122011,4.1,ug/m3 LC,01,033,
10152011,7.4,ug/m3 LC,01,033,
10182011,10.3,ug/m3 LC,01,033,
10212011,4.5,ug/m3 LC,01,033,
10242011,7.1,ug/m3 LC,01,033,
10272011,9.7,ug/m3 LC,01,033,
10302011,8.2,ug/m3 LC,01,033,
11022011,14.4,ug/m3 LC,01,033,
11052011,15.6,ug/m3 LC,01,033,
11082011,8,ug/m3 LC,01,033,
11112011,7,ug/m3 LC,01,033,
11142011,6.6,ug/m3 LC,01,033,
11172011,3.7,ug/m3 LC,01,033,
11202011,7.5,ug/m3 LC,01,033,
11232011,6,ug/m3 LC,01,033,
11262011,6.5,ug/m3 LC,01,033,
11292011,4.3,ug/m3 LC,01,033,
12022011,10.8,ug/m3 LC,01,033,
12082011,9.1,ug/m3 LC,01,033,
12112011,7.9,ug/m3 LC,01,033,
12142011,9.1,ug/m3 LC,01,033,
12172011,9.5,ug/m3 LC,01,033,
12202011,9.8,ug/m3 LC,01,033,
12232011,6.9,ug/m3 LC,01,033,
12262011,8.1,ug/m3 LC,01,033,
12292011,6.5,ug/m3 LC,01,033,
01062011,10.9,ug/m3 LC,01,049,
01092011,6.5,ug/m3 LC,01,049,
01122011,13.2,ug/m3 LC,01,049,
01152011,10.5,ug/m3 LC,01,049,
01182011,17.7,ug/m3 LC,01,049,
01212011,6.2,ug/m3 LC,01,049,
01242011,10.1,ug/m3 LC,01,049,
01272011,11.7,ug/m3 LC,01,049,
01302011,13.1,ug/m3 LC,01,049,
02022011,6.7,ug/m3 LC,01,049,
02052011,4.5,ug/m3 LC,01,049,
02082011,6,ug/m3 LC,01,049,
02112011,10,ug/m3 LC,01,049,
02142011,8.8,ug/m3 LC,01,049,
02172011,23.3,ug/m3 LC,01,049,
02202011,13.7,ug/m3 LC,01,049,
02232011,18.9,ug/m3 LC,01,049,
02262011,10.3,ug/m3 LC,01,049,
03012011,9.9,ug/m3 LC,01,049,
03042011,13.9,ug/m3 LC,01,049,
03102011,9.7,ug/m3 LC,01,049,
03132011,11.8,ug/m3 LC,01,049,
03162011,5.2,ug/m3 LC,01,049,
03192011,13.5,ug/m3 LC,01,049,
03222011,15.2,ug/m3 LC,01,049,
03252011,8.7,ug/m3 LC,01,049,
03282011,5.9,ug/m3 LC,01,049,
03312011,16.9,ug/m3 LC,01,049,
04032011,9.2,ug/m3 LC,01,049,
04062011,5.2,ug/m3 LC,01,049,
04092011,12.3,ug/m3 LC,01,049,
04122011,4.8,ug/m3 LC,01,049,
04212011,5.7,ug/m3 LC,01,049,
04242011,9.3,ug/m3 LC,01,049,
05122011,19.4,ug/m3 LC,01,049,
05152011,4.3,ug/m3 LC,01,049,
05182011,12.3,ug/m3 LC,01,049,
05212011,17.9,ug/m3 LC,01,049,
05242011,15.6,ug/m3 LC,01,049,
05272011,6.7,ug/m3 LC,01,049,
05302011,19.6,ug/m3 LC,01,049,
06022011,23.4,ug/m3 LC,01,049,
06052011,19.4,ug/m3 LC,01,049,
06082011,24.3,ug/m3 LC,01,049,
06112011,16.6,ug/m3 LC,01,049,
06142011,14.5,ug/m3 LC,01,049,
06172011,7.2,ug/m3 LC,01,049,
06202011,10.2,ug/m3 LC,01,049,
06232011,7.5,ug/m3 LC,01,049,
06262011,10.2,ug/m3 LC,01,049,
06292011,8.1,ug/m3 LC,01,049,
07022011,14.5,ug/m3 LC,01,049,
07052011,12.6,ug/m3 LC,01,049,
07082011,16.5,ug/m3 LC,01,049,
07112011,16.3,ug/m3 LC,01,049,
07142011,13.7,ug/m3 LC,01,049,
07172011,9.4,ug/m3 LC,01,049,
07202011,16.8,ug/m3 LC,01,049,
07232011,11.9,ug/m3 LC,01,049,
07262011,11.4,ug/m3 LC,01,049,
07292011,8.6,ug/m3 LC,01,049,
08012011,16.2,ug/m3 LC,01,049,
08042011,5.9,ug/m3 LC,01,049,
08072011,15,ug/m3 LC,01,049,
08102011,9.4,ug/m3 LC,01,049,
08132011,15,ug/m3 LC,01,049,
08162011,13.9,ug/m3 LC,01,049,
08192011,17.6,ug/m3 LC,01,049,
08222011,13.7,ug/m3 LC,01,049,
08252011,18,ug/m3 LC,01,049,
08282011,12.3,ug/m3 LC,01,049,
08312011,24.7,ug/m3 LC,01,049,
09032011,20.4,ug/m3 LC,01,049,
09092011,8.5,ug/m3 LC,01,049,
09122011,14.5,ug/m3 LC,01,049,
09152011,9.2,ug/m3 LC,01,049,
09182011,7.4,ug/m3 LC,01,049,
09212011,10.2,ug/m3 LC,01,049,
09242011,4.6,ug/m3 LC,01,049,
09272011,6.7,ug/m3 LC,01,049,
09302011,5.4,ug/m3 LC,01,049,
10032011,5.7,ug/m3 LC,01,049,
10152011,8.2,ug/m3 LC,01,049,
10182011,13.4,ug/m3 LC,01,049,
10212011,5.3,ug/m3 LC,01,049,
10242011,9.2,ug/m3 LC,01,049,
10272011,11.3,ug/m3 LC,01,049,
10302011,8.1,ug/m3 LC,01,049,
11022011,12.9,ug/m3 LC,01,049,
11052011,11.4,ug/m3 LC,01,049,
11082011,12,ug/m3 LC,01,049,
11112011,6.9,ug/m3 LC,01,049,
11142011,8,ug/m3 LC,01,049,
11172011,4.2,ug/m3 LC,01,049,
11202011,12.5,ug/m3 LC,01,049,
11232011,4.8,ug/m3 LC,01,049,
11262011,6.5,ug/m3 LC,01,049,
12022011,9.8,ug/m3 LC,01,049,
12052011,8.1,ug/m3 LC,01,049,
12082011,9.2,ug/m3 LC,01,049,
12112011,7.7,ug/m3 LC,01,049,
12142011,6.5,ug/m3 LC,01,049,
12172011,9.3,ug/m3 LC,01,049,
12202011,9.6,ug/m3 LC,01,049,
12232011,8,ug/m3 LC,01,049,
12262011,5.3,ug/m3 LC,01,049,
12292011,6.1,ug/m3 LC,01,049,
01032011,5.4,ug/m3 LC,01,055,
01062011,9.2,ug/m3 LC,01,055,
01092011,6.6,ug/m3 LC,01,055,
01122011,11.6,ug/m3 LC,01,055,
01152011,9.5,ug/m3 LC,01,055,
01182011,19.7,ug/m3 LC,01,055,
01212011,6,ug/m3 LC,01,055,
01242011,10,ug/m3 LC,01,055,
01272011,8.5,ug/m3 LC,01,055,
01302011,12.3,ug/m3 LC,01,055,
02022011,5.7,ug/m3 LC,01,055,
02052011,4.1,ug/m3 LC,01,055,
02082011,5.7,ug/m3 LC,01,055,
02112011,9,ug/m3 LC,01,055,
02142011,10.2,ug/m3 LC,01,055,
02172011,23.7,ug/m3 LC,01,055,
02202011,16.2,ug/m3 LC,01,055,
02232011,18.6,ug/m3 LC,01,055,
02262011,11.5,ug/m3 LC,01,055,
03012011,9.9,ug/m3 LC,01,055,
03042011,16.9,ug/m3 LC,01,055,
03072011,9.3,ug/m3 LC,01,055,
03102011,8.1,ug/m3 LC,01,055,
03132011,12,ug/m3 LC,01,055,
03162011,6,ug/m3 LC,01,055,
03192011,13.4,ug/m3 LC,01,055,
03222011,17.2,ug/m3 LC,01,055,
03252011,8.3,ug/m3 LC,01,055,
03282011,5.9,ug/m3 LC,01,055,
03312011,15.2,ug/m3 LC,01,055,
04032011,12.2,ug/m3 LC,01,055,
04062011,5.7,ug/m3 LC,01,055,
04092011,11.6,ug/m3 LC,01,055,
04122011,5.7,ug/m3 LC,01,055,
04152011,12.1,ug/m3 LC,01,055,
04182011,9.9,ug/m3 LC,01,055,
04212011,5.3,ug/m3 LC,01,055,
04242011,9.1,ug/m3 LC,01,055,
04272011,8.1,ug/m3 LC,01,055,
04302011,10.1,ug/m3 LC,01,055,
05062011,9.9,ug/m3 LC,01,055,
05122011,35,ug/m3 LC,01,055,
05152011,3.5,ug/m3 LC,01,055,
05182011,12.7,ug/m3 LC,01,055,
05212011,17.6,ug/m3 LC,01,055,
05242011,15.1,ug/m3 LC,01,055,
05272011,7.1,ug/m3 LC,01,055,
05302011,17.8,ug/m3 LC,01,055,
06022011,25.1,ug/m3 LC,01,055,
06052011,19.9,ug/m3 LC,01,055,
06082011,22.5,ug/m3 LC,01,055,
06112011,17.8,ug/m3 LC,01,055,
06142011,14.1,ug/m3 LC,01,055,
06172011,9.8,ug/m3 LC,01,055,
06202011,10.4,ug/m3 LC,01,055,
06232011,6.5,ug/m3 LC,01,055,
06292011,10.9,ug/m3 LC,01,055,
07022011,14.6,ug/m3 LC,01,055,
07052011,14.3,ug/m3 LC,01,055,
07082011,17.8,ug/m3 LC,01,055,
07112011,17.4,ug/m3 LC,01,055,
07142011,11.8,ug/m3 LC,01,055,
07172011,7.5,ug/m3 LC,01,055,
07202011,16.1,ug/m3 LC,01,055,
07232011,9.9,ug/m3 LC,01,055,
07262011,11.3,ug/m3 LC,01,055,
07292011,7.1,ug/m3 LC,01,055,
08012011,17.5,ug/m3 LC,01,055,
08042011,6.5,ug/m3 LC,01,055,
08072011,14.2,ug/m3 LC,01,055,
08102011,9.7,ug/m3 LC,01,055,
08132011,14.2,ug/m3 LC,01,055,
08162011,13.5,ug/m3 LC,01,055,
08192011,21.5,ug/m3 LC,01,055,
08222011,14.1,ug/m3 LC,01,055,
08252011,17.3,ug/m3 LC,01,055,
08282011,11.6,ug/m3 LC,01,055,
08312011,24.7,ug/m3 LC,01,055,
09032011,19.4,ug/m3 LC,01,055,
09092011,8.7,ug/m3 LC,01,055,
09122011,16.2,ug/m3 LC,01,055,
09152011,9.1,ug/m3 LC,01,055,
09182011,8.7,ug/m3 LC,01,055,
09212011,11.2,ug/m3 LC,01,055,
09242011,6.2,ug/m3 LC,01,055,
09272011,7.8,ug/m3 LC,01,055,
10032011,6.9,ug/m3 LC,01,055,
10062011,14.7,ug/m3 LC,01,055,
10092011,6.3,ug/m3 LC,01,055,
10122011,4,ug/m3 LC,01,055,
10152011,7.2,ug/m3 LC,01,055,
10182011,13.2,ug/m3 LC,01,055,
10212011,6.4,ug/m3 LC,01,055,
10242011,10.6,ug/m3 LC,01,055,
10272011,13.2,ug/m3 LC,01,055,
10302011,10.4,ug/m3 LC,01,055,
11022011,13.9,ug/m3 LC,01,055,
11052011,13.5,ug/m3 LC,01,055,
11082011,9.4,ug/m3 LC,01,055,
11172011,3.8,ug/m3 LC,01,055,
11202011,12.2,ug/m3 LC,01,055,
11232011,4.7,ug/m3 LC,01,055,
11262011,6.5,ug/m3 LC,01,055,
11292011,2.4,ug/m3 LC,01,055,
12022011,14.2,ug/m3 LC,01,055,
12052011,8.1,ug/m3 LC,01,055,
12082011,7.7,ug/m3 LC,01,055,
12112011,8.4,ug/m3 LC,01,055,
12142011,10.7,ug/m3 LC,01,055,
12172011,9,ug/m3 LC,01,055,
12202011,12,ug/m3 LC,01,055,
12232011,7.5,ug/m3 LC,01,055,
12262011,6.1,ug/m3 LC,01,055,
12292011,8.2,ug/m3 LC,01,055,
01032011,7.1,ug/m3 LC,01,069,
01062011,8.9,ug/m3 LC,01,069,
01092011,4.5,ug/m3 LC,01,069,
01122011,9.9,ug/m3 LC,01,069,
01152011,10.2,ug/m3 LC,01,069,
01182011,10.5,ug/m3 LC,01,069,
01212011,4.3,ug/m3 LC,01,069,
01242011,12.8,ug/m3 LC,01,069,
01272011,7.3,ug/m3 LC,01,069,
01302011,13.3,ug/m3 LC,01,069,
02022011,6.9,ug/m3 LC,01,069,
02052011,4.3,ug/m3 LC,01,069,
02082011,8.8,ug/m3 LC,01,069,
02112011,10.5,ug/m3 LC,01,069,
02142011,11.7,ug/m3 LC,01,069,
02172011,22,ug/m3 LC,01,069,
02202011,29.7,ug/m3 LC,01,069,
02232011,29.7,ug/m3 LC,01,069,
02262011,9.7,ug/m3 LC,01,069,
03012011,8.1,ug/m3 LC,01,069,
03042011,12.4,ug/m3 LC,01,069,
03072011,15.8,ug/m3 LC,01,069,
03102011,6,ug/m3 LC,01,069,
03132011,8.2,ug/m3 LC,01,069,
03162011,9.5,ug/m3 LC,01,069,
03192011,15.5,ug/m3 LC,01,069,
03222011,14.2,ug/m3 LC,01,069,
03312011,9.8,ug/m3 LC,01,069,
04032011,10.1,ug/m3 LC,01,069,
04062011,6.5,ug/m3 LC,01,069,
04092011,9.7,ug/m3 LC,01,069,
04122011,6.6,ug/m3 LC,01,069,
04152011,12.9,ug/m3 LC,01,069,
04182011,9.5,ug/m3 LC,01,069,
04212011,9.3,ug/m3 LC,01,069,
04242011,8.9,ug/m3 LC,01,069,
04272011,9.5,ug/m3 LC,01,069,
04302011,9.5,ug/m3 LC,01,069,
05032011,8.5,ug/m3 LC,01,069,
05062011,9.7,ug/m3 LC,01,069,
05092011,13.5,ug/m3 LC,01,069,
05122011,12.8,ug/m3 LC,01,069,
05152011,4.6,ug/m3 LC,01,069,
05182011,10.3,ug/m3 LC,01,069,
05212011,11.9,ug/m3 LC,01,069,
05242011,12.8,ug/m3 LC,01,069,
05272011,10,ug/m3 LC,01,069,
05302011,7.7,ug/m3 LC,01,069,
06022011,15.4,ug/m3 LC,01,069,
06052011,17.2,ug/m3 LC,01,069,
06082011,20.8,ug/m3 LC,01,069,
06112011,20.3,ug/m3 LC,01,069,
06142011,20.8,ug/m3 LC,01,069,
06172011,8.1,ug/m3 LC,01,069,
06232011,6.2,ug/m3 LC,01,069,
06262011,7,ug/m3 LC,01,069,
06292011,11.3,ug/m3 LC,01,069,
07022011,16.4,ug/m3 LC,01,069,
07082011,14,ug/m3 LC,01,069,
07112011,8.7,ug/m3 LC,01,069,
07142011,12.6,ug/m3 LC,01,069,
07172011,3.2,ug/m3 LC,01,069,
07202011,14.5,ug/m3 LC,01,069,
07232011,3.7,ug/m3 LC,01,069,
07262011,10.3,ug/m3 LC,01,069,
07292011,8.4,ug/m3 LC,01,069,
08012011,10.1,ug/m3 LC,01,069,
