FID_,YEAR_,STATE,UNIT_ID,FIRE_NUM,FIRE_NAME,AGENCY,ALARM_DATE,CONT_DATE,C_METHOD,CAUSE,INC_NUM,OBJECTIVE,COMMENTS,REPORT_AC,GIS_ACRES,Shape_Leng,Shape_Area
,1981,CA,SLU,227,CHANDLER #2,CDF,19810714,0,0,2,1120,1, ,0,209.2859955,4297.134698,846948.4705
,1981,CA,FKU,101,LUCILLE,CDF,19810704,0,0,8,4300,1, ,0,738.3389893,7628.831246,2987951.716
,1981,CA,FKU,122,RESSE CANYON,CDF,19810721,0,0,2,4942,1, ,0,577.3070068,6544.640869,2336277.308
,1961,CA,STF,88, ,USF,19610000,0,0,9,0,1, ,0,8.0103197,672.0837789,32416.62772
,1961,CA,MMU,28,HARLOW,CDF,19610710,0,0,9,0,1, ,0,43330.80078,78895.74626,175353632.1
,1961,CA,SNF,2, ,USF,19610000,0,0,14,0,1, ,0,3507.01001,19176.52993,14192373.58
,1961,CA,SNF,3, ,USF,19610000,0,0,14,0,1, ,0,1662.479981,12477.98387,6727838.056
,1961,CA,SNF,4, ,USF,19610000,0,0,9,0,1, ,0,19430.09961,46548.87047,78630844.09
,1961,CA,INF,5401, ,USF,19610000,0,0,1,0,1, ,0,1566.48999,14144.71959,6339376.868
,1961,CA,SQF,125, ,USF,19610000,0,0,9,0,1, ,0,180.3190002,3284.936747,729725.5462
,1961,CA,SQF,64, ,USF,19610000,0,0,1,0,1, ,0,65.1567993,2887.664205,263680.2375
,1961,CA,SQF,60, ,USF,19610000,0,0,9,0,1, ,0,11.1379004,796.7065778,45073.56728
,1961,CA,SQF,65, ,USF,19610000,0,0,1,0,1, ,0,10.6765003,1001.027952,43206.12409
,1961,CA,SQF,33, ,USF,19610000,0,0,1,0,1, ,0,8.1491699,851.9637173,32978.50946
,1961,CA,SQF,183, ,USF,19610000,0,0,1,0,1, ,0,22.9069004,1149.826321,92700.79514
,1961,CA,SQF,269, ,USF,19610000,0,0,9,0,1, ,0,1336.180054,10753.50164,5407315.482
,1961,CA,SQF,1, ,USF,19610000,0,0,9,0,1, ,0,36.9574013,1476.358315,149561.3652
,1961,CA,SQF,178, ,USF,19610000,0,0,1,0,1, ,0,59.9928017,2050.274389,242782.2795
,1961,CA,SQF,195,WHITE DEER,USF,19610820,0,0,9,0,1, ,0,4967.390137,20833.4677,20102313.53
,1961,CA,MMU,0,MCALISTER FIRE,CDF,19610808,0,0,14,0,1, ,0,590.0239868,6408.779271,2387742.007
,1962,CA,SNF,1, ,USF,19620000,0,0,14,0,1, ,0,1260.550049,10134.87706,5101255.548
,1962,CA,SNF,2, ,USF,19620000,0,0,14,0,1, ,0,195.7079926,4378.390892,792001.2688
,1962,CA,SNF,3, ,USF,19620000,0,0,9,0,1, ,0,228.848999,5996.01043,926119.5839
,1932,CA,STF,18,MIDDLE RIDGE #1,USF,19320828,19320000,6,7, ,1,20090305,196,196.7839966,3737.490399,796355.1798
,1962,CA,SQF,5,LEFEVER,USF,19620609,0,0,9,0,1, ,0,700.7410278,10744.8938,2835799.353
,1962,CA,SQF,8, ,USF,19620000,0,0,9,0,1, ,0,209.7769928,4185.227036,848937.9843
,1962,CA,SQF,33, ,USF,19620000,0,0,9,0,1, ,0,823.2139893,9757.517486,3331427.779
,1962,CA,SQF,19, ,USF,19620000,0,0,9,0,1, ,0,136.8430023,4111.561779,553784.219
,1962,CA,SQF,12, ,USF,19620000,0,0,9,0,1, ,0,50.0514984,2375.885825,202551.1848
,1962,CA,SQF,27, ,USF,19620000,0,0,9,0,1, ,0,42.7719994,2244.200254,173092.1148
,1963,CA,TCU,60,ROADSIDE #12,CDF,19630812,0,0,14,0,1, ,0,193.0659943,3582.228588,781309.5556
,1963,CA,TCU,98,ROTELLI,CDF,19630926,0,0,14,0,1, ,0,363.9549866,5799.950927,1472872.565
,1963,CA,TUU,85,BALANCE ROCK,CDF,19630825,0,0,14,0,1, ,0,326.8599854,5620.858755,1322754.504
,1963,CA,TUU,19,BALD MOUNTAIN,CDF,19630609,0,0,14,0,1, ,0,313.0780029,4313.036214,1266980.379
,1963,CA,SLU,94,JACK RANCH,CDF,19630714,0,0,14,0,1, ,0,596.6900024,10590.88457,2414717.753
,1963,CA,MMU,0000016A,SAN LUIS #4,CDF,19630715,0,0,14,0,1, ,0,1264.140015,22881.33346,5115773.468
,1963,CA,TUU,53,WIGGLETAIL,CDF,19630727,0,0,14,0,1, ,0,587.6400146,7515.318089,2378095.629
,1963,CA,KRN,127,BODFISH OAKS,CCO,19630621,0,0,14,0,1, ,0,568.5869751,7980.101376,2300989.071
,1963,CA,FKU,75,JESSE MORROW,CDF,19630830,0,0,14,0,1, ,0,2793.709961,15836.58284,11305724.51
,1973,CA,MMU,0,LIGHTNING #2,CDF,19730627,0,0,14,0,1, ,0,618.7620239,6307.502394,2504042.758
,1974,CA,TCU,212,SITE 300 #2,CDF,19740809,0,0,14,0,1, ,0,515.8380127,7595.133533,2087521.247
,1974,CA,FKU,25,HAMBERG,CDF,19740522,0,0,14,0,1, ,0,2993.929932,18386.16473,12116015.24
,1974,CA,FKU,33,MCDONALD,CDF,19740604,0,0,14,0,1, ,0,255.477005,4632.805592,1033878.44
,1974,CA,FKU,16,P. G. & E. #8,CDF,19740506,0,0,14,0,1, ,0,1215.829956,12477.2407,4920269.76
,1974,CA,FKU,29,PANOCHE,CDF,19740524,0,0,14,0,1, ,0,2127.77002,19513.47413,8610798.606
,2002,CA,SLU,192,DAVIS,CDF,20020609,20020611,2,14,2909,1, ,2118,2117.689941,19504.06539,8569975.678
,2002,CA,TCU,303,CHINOOK,CDF,20020529,20020529,6,2,3633,1, ,2,2.0023899,330.9214601,8103.369821
,2002,CA,TCU,348,PG&E#1,CDF,20020609,20020609,2,2,3990,1, ,100,266.0929871,5130.623401,1076840.22
,2002,CA,TCU,373,WAVERLY,CDF,20020612,20020612,2,2,4113,1, ,100,71.8246994,2841.145207,290664.3035
,2002,CA,TCU,623,MCPHEE,CDF,20020809,20020809,2,2,6163,1, ,75,64.1298981,2556.975335,259524.4454
,2002,CA,TCU,663,HOWELL,CDF,20020817,20020817,2,10,6452,1, ,68,80.336998,2822.938408,325112.1275
,2002,CA,TCU,788,VALLEY,CDF,20020924,20020924,1,14,7577,1, ,12,11.8077002,1025.367453,47784.03594
,2002,CA,TCU,790,WILLOW,CDF,20020924,20020924,7,2,7590,1, ,166,165.9400024,4136.374,671534.358
,2002,CA,TCU,800,MANUEL,CDF,20020926,20020927,1,10,7668,1, ,10,9.7375698,1162.132828,39406.55011
,2002,CA,TCU,938,"SPI #3 """"SOURGRASS""""",CDF,20021125,20021130,1,5,9171,1,20090305,635,635.052002,12364.37442,2569962.419
,2002,CA,TCU,945,"SPI #5 """"WINTON""""",CDF,20021125,20021125,1,5,9177,1, ,20,38.9626999,1837.911061,157676.5599
,2002,CA,TCU,939,"SPI #4 """"MILL CREEK #1""""",CDF,20021125,20021130,1,5,9178,1, ,53,52.6492996,1828.616687,213063.9737
,2002,CA,TCU,955,"SPI #6 """"SPUR 4""""",CDF,20021127,20021201,1,5,9254,1, ,36,36.1962013,1770.544584,146480.9938
,2002,CA,TCU,958,SPI #9,CDF,20021127,20021201,1,5,9259,1, ,11,11.1268997,1123.32209,45029.08705
,1954,CA,MMU,43,BLACK HAWK MT.,CDF,19540724,0,0,18,0,1, ,0,483.3699951,5659.286249,1956127.286
,1954,CA,MMU,0,BUFFORD MTN,CDF,19540807,0,0,18,0017MA54,1, ,0,4938.640137,20394.15509,19985984.17
,1994,CA,FKU,186, ,CDF,19940730,0,0,10,7660,1, ,0,204.5079956,3447.002421,827615.528
,1964,CA,SNF,1, ,USF,19640000,0,0,14,0,1, ,0,105.6299973,2676.12014,427467.8741
,1964,CA,SNF,2, ,USF,19640000,0,0,14,0,1, ,0,28.9108009,1347.94958,116997.8669
,1963,CA,SQF,20, ,USF,19630000,0,0,9,0,1, ,0,64.987999,2050.520252,262996.9265
,1965,CA,SCU,7,WINDY POINT,CDF,19650916,0,0,14,0,1, ,0,520.9970093,10802.41727,2108399.923
,1965,CA,KRN,336,ROBERT MONROE RANCH,CCO,19650914,0,0,14,0,1, ,0,244.1089935,4582.295662,987873.7232
,1965,CA,KRN,283,TECUYA,CCO,19650811,0,0,1,0,1, ,0,586.6760254,8481.322619,2374195.141
,1965,CA,SQF,177, ,USF,19650000,0,0,9,0,1, ,0,178.947998,3835.266994,724175.6929
,1965,CA,KRN,278,HIDDEN CORRAL,CCO,19650809,0,0,1,0,1, ,0,764.9769897,10076.76321,3095751.339
,1966,CA,SCU,0000013A,BAKER 3 #3,CDF,19660611,0,0,14,0,1, ,0,703.6339722,7614.657379,2847503.969
,1966,CA,MMU,34,COOK,CDF,19660430,0,0,14,0,1, ,0,334.8720093,7790.204355,1355178.817
,1966,CA,SCU,0000076A,FUSEE,CDF,19660615,0,0,14,0,1, ,0,590.7199707,8807.019629,2390559.357
,1966,CA,TCU,123,HOAG,CDF,19660905,0,0,14,0,1, ,0,281.480011,5186.226784,1139109.42
,1966,CA,TCU,114,INDIAN CREEK,CDF,19660822,0,0,14,0,1, ,0,430.0939941,6197.114368,1740528.44
,1966,CA,FKU,71,VAN VLEET,CDF,19660616,0,0,14,0,1, ,0,1821.420044,13106.3092,7371013.195
,1966,CA,SQF,125, ,USF,19660000,0,0,9,0,1, ,0,6.33531,666.6965426,25638.08634
,1966,CA,SQF,24, ,USF,19660000,0,0,1,0,1, ,0,1570.640015,18145.83191,6356144.928
,1966,CA,SQF,118, ,USF,19660000,0,0,1,0,1, ,0,38.6165009,2067.176061,156275.6117
,1966,CA,YNP,49,ECHO,NPS,19660000,0,0,9,0,1, ,0,146.1139984,4336.649009,591301.6002
,1966,CA,YNP,62,TUOLUMNE PEAK,NPS,19660000,0,0,1,0,1, ,0,37.7781982,1387.945915,152883.1215
,1966,CA,YNP,60,LONG GULCH,NPS,19660000,0,0,1,0,1, ,0,7.85078,632.719995,31770.98103
,1973,CA,FKU,65,B.L.M. #2,CDF,19730627,0,0,14,0,1, ,0,552.8969727,9791.333472,2237494.829
,1973,CA,FKU,66,COPPER PEAK,CDF,19730627,0,0,14,0,1, ,0,312.9410095,5603.051086,1266425.378
,1973,CA,FKU,69,COPPER PEAK #3,CDF,19730627,0,0,14,0,1, ,0,845.8829956,9010.261041,3423167.669
,1973,CA,FKU,44,PERKINS,CDF,19730530,0,0,14,0,1, ,0,681.757019,8441.158715,2758974.052
,1973,CA,FKU,78,TABLE MT.,CDF,19730627,0,0,14,0,1, ,0,735.3150024,10522.18921,2975714.489
,1979,CA,TCU,667,LIGHTNING STRIKE #2,CDF,19790924,0,0,14,1160,1, ,0,425.6990051,5602.00177,1722743.861
,1979,CA,TCU,139,MOUNTAIN PASS,CDF,19790514,0,0,14,291,1, ,0,57.9244995,1959.577774,234412.0059
,1979,CA,SCU,108,P.G.&E. MARSH CREEK,CDF,19790607,0,0,14,631,1, ,0,321.9240112,5838.841134,1302782.023
,1979,CA,TCU,274,PEORIA MTN.,CDF,19790616,0,0,14,512,1, ,0,491.2189941,5349.928069,1987892.801
,1979,CA,SCU,167,SITE 300,CDF,19790619,0,0,14,784,1, ,0,103.322998,3207.019891,418133.5204
,1979,CA,TCU,196,TULLOCK,CDF,19790602,0,0,14,402,1, ,0,239.8970032,4483.982857,970830.1555
,1979,CA,TUU,142,ANTELOPE VALLEY,CDF,19790705,0,0,14,2937,1, ,0,1278.819946,9643.422331,5175209.001
,1979,CA,FKU,70,CIERVO,CDF,19790607,0,0,14,3227,1, ,0,62902,69186.79927,254555426
,1996,CA,BBD,0000D078,HWY 33,BLM,19960503,19960503,8,7,0,1, ,350,431.1919861,5695.070496,1744973.779
,1996,CA,BBD,0000D101,COOK,BLM,19960605,19960606,8,2,0,1, ,743,615.6660156,12697.85068,2491512.151
,1996,CA,BBD,0000D108,RESERVE,BLM,19960611,19960611,8,11,0,1, ,100,174.9360046,3651.696805,707940.8114
,1996,CA,BBD,0000D172,MIDWAY,BLM,19960717,19960717,8,3,0,1, ,350,359.0100098,5431.348434,1452861.718
,1996,CA,BBD,0000D176,GILBRETH,BLM,19960719,19960719,8,7,0,1, ,3500,4238.169922,18872.14522,17151256.2
,1996,CA,BBD,0000D179,REDRO,BLM,19960720,19960721,8,4,0,1, ,105,74.7012024,2531.060292,302304.9656
,1996,CA,BBD,0000D191,B V II,BLM,19960730,19960730,8,4,0,1, ,228,247.3999939,6266.111593,1001194.165
